醫事機構代碼,醫事機構名稱,醫事機構地址,經度,緯度,醫事機構電話,廠牌項目,快篩試劑截至目前結餘存貨數量,來源資料時間,備註
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,119.9492,26.16084,(083)623995,羅氏家用新冠病毒抗原自我檢測套組,206,2022/10/25 10:13:02,固定周一至周六上午8:30-9:30快篩試劑販售.
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,121.7095,24.93592,(02)26656272,羅氏家用新冠病毒抗原自我檢測套組,197,2022/10/25 10:13:02,防疫口罩販售服務時間，星期一至五09:00-12:00 。（倘若遇政府規定補班日，仍會提供販售口罩服務）
2331220012,新北市石門區衛生所,新北市石門區中山路２８－１號,121.566,25.29016,(02)26381007,羅氏家用新冠病毒抗原自我檢測套組,110,2022/10/25 10:13:02,無
2331240014,新北市平溪區衛生所,新北市平溪區公園街１７號１樓,121.7365,25.02469,(02)24951015,羅氏家用新冠病毒抗原自我檢測套組,169,2022/10/25 10:13:02,快篩試劑販售時間:週一至週五上午9:00至12:00 。視訊門診時間:週一至週五上午11:00至12:00 。
2331260016,新北市貢寮區衛生所,新北市貢寮區仁愛路１２８號,121.9095,25.02258,(02)24901431,羅氏家用新冠病毒抗原自我檢測套組,185,2022/10/25 10:13:02,快篩試劑販售時間為周一至周五早上9點開始販售，每日販售一箱，數量有限售完為止。
2331290014,新北市烏來區衛生所,新北市烏來區新烏路５段１０９號,121.548,24.87197,(02)26617200,羅氏家用新冠病毒抗原自我檢測套組,237,2022/10/25 10:13:02,無
2333070010,新竹縣橫山鄉衛生所,新竹縣橫山鄉大肚村３鄰新興街１４１巷１０號,121.1393,24.71756,(03)5932004,羅氏家用新冠病毒抗原自我檢測套組,218,2022/10/25 10:13:02,實名制快篩試劑販賣：週一至週五12：30~13：30
2333100013,新竹縣寶山鄉衛生所,新竹縣寶山鄉雙溪村７鄰雙園路二段２７３號,120.9949,24.76691,(03)5292106,羅氏家用新冠病毒抗原自我檢測套組,240,2022/10/25 10:13:02,快篩試劑於星期一~星期六8:30-9:30販售
2333110019,新竹縣北埔鄉衛生所,新竹縣北埔鄉北埔街９０號,121.0555,24.70055,(03)5801677,羅氏家用新冠病毒抗原自我檢測套組,402,2022/10/25 10:13:02,雙十節休診
2333120015,新竹縣峨眉鄉衛生所,新竹縣峨眉鄉峨眉村峨眉街２鄰５號,121.0214,24.68842,(03)5800314,羅氏家用新冠病毒抗原自我檢測套組,422,2022/10/25 10:13:02,本所10月7日（五）下午眼科門診，周三下午為中醫門診，上班日快篩試劑販賣為中午12至13時，周六.周日及國定假日停賣
2333130011,新竹縣尖石鄉衛生所,新竹縣尖石鄉嘉樂村２鄰６１號,121.2023,24.70562,(03)5842356,羅氏家用新冠病毒抗原自我檢測套組,194,2022/10/25 10:13:02,10／8-10／10 國慶連假無門診。無急診
2333140017,新竹縣五峰鄉衛生所,新竹縣五峰鄉大隘村六鄰９９號,121.1194,24.63184,(03)5851005,羅氏家用新冠病毒抗原自我檢測套組,147,2022/10/25 10:13:02,無
